source,table,page,description,series_id,period,value
"Paul H. Douglas, The Theory of Wages","Table 19 The Movement Of Labor, Capital, And Product In Massachusetts Manufacturing, 1890-1926, 1899=100",160,C,DT19AS03,1893,96.0
"Paul H. Douglas, The Theory of Wages","Table 19 The Movement Of Labor, Capital, And Product In Massachusetts Manufacturing, 1890-1926, 1899=100",160,P,DT19AS01,1894,72.0
"Paul H. Douglas, The Theory of Wages","Table 19 The Movement Of Labor, Capital, And Product In Massachusetts Manufacturing, 1890-1926, 1899=100",160,L,DT19AS02,1894,72.0
"Paul H. Douglas, The Theory of Wages","Table 19 The Movement Of Labor, Capital, And Product In Massachusetts Manufacturing, 1890-1926, 1899=100",160,C,DT19AS03,1894,93.0
"Paul H. Douglas, The Theory of Wages","Table 19 The Movement Of Labor, Capital, And Product In Massachusetts Manufacturing, 1890-1926, 1899=100",160,P,DT19AS01,1895,83.0
"Paul H. Douglas, The Theory of Wages","Table 19 The Movement Of Labor, Capital, And Product In Massachusetts Manufacturing, 1890-1926, 1899=100",160,L,DT19AS02,1895,84.0
"Paul H. Douglas, The Theory of Wages","Table 19 The Movement Of Labor, Capital, And Product In Massachusetts Manufacturing, 1890-1926, 1899=100",160,C,DT19AS03,1895,86.0
"Paul H. Douglas, The Theory of Wages","Table 19 The Movement Of Labor, Capital, And Product In Massachusetts Manufacturing, 1890-1926, 1899=100",160,P,DT19AS01,1896,81.0
"Paul H. Douglas, The Theory of Wages","Table 19 The Movement Of Labor, Capital, And Product In Massachusetts Manufacturing, 1890-1926, 1899=100",160,L,DT19AS02,1896,81.0
"Paul H. Douglas, The Theory of Wages","Table 19 The Movement Of Labor, Capital, And Product In Massachusetts Manufacturing, 1890-1926, 1899=100",160,C,DT19AS03,1896,82.0
"Paul H. Douglas, The Theory of Wages","Table 19 The Movement Of Labor, Capital, And Product In Massachusetts Manufacturing, 1890-1926, 1899=100",160,P,DT19AS01,1897,93.0
"Paul H. Douglas, The Theory of Wages","Table 19 The Movement Of Labor, Capital, And Product In Massachusetts Manufacturing, 1890-1926, 1899=100",160,L,DT19AS02,1897,89.0
"Paul H. Douglas, The Theory of Wages","Table 19 The Movement Of Labor, Capital, And Product In Massachusetts Manufacturing, 1890-1926, 1899=100",160,C,DT19AS03,1897,92.0
"Paul H. Douglas, The Theory of Wages","Table 19 The Movement Of Labor, Capital, And Product In Massachusetts Manufacturing, 1890-1926, 1899=100",160,P,DT19AS01,1898,96.0
"Paul H. Douglas, The Theory of Wages","Table 19 The Movement Of Labor, Capital, And Product In Massachusetts Manufacturing, 1890-1926, 1899=100",160,L,DT19AS02,1898,91.0
"Paul H. Douglas, The Theory of Wages","Table 19 The Movement Of Labor, Capital, And Product In Massachusetts Manufacturing, 1890-1926, 1899=100",160,C,DT19AS03,1898,92.0
"Paul H. Douglas, The Theory of Wages","Table 19 The Movement Of Labor, Capital, And Product In Massachusetts Manufacturing, 1890-1926, 1899=100",160,P,DT19AS01,1899,100.0
"Paul H. Douglas, The Theory of Wages","Table 19 The Movement Of Labor, Capital, And Product In Massachusetts Manufacturing, 1890-1926, 1899=100",160,L,DT19AS02,1899,100.0
"Paul H. Douglas, The Theory of Wages","Table 19 The Movement Of Labor, Capital, And Product In Massachusetts Manufacturing, 1890-1926, 1899=100",160,C,DT19AS03,1899,100.0
"Paul H. Douglas, The Theory of Wages","Table 19 The Movement Of Labor, Capital, And Product In Massachusetts Manufacturing, 1890-1926, 1899=100",160,P,DT19AS01,1900,105.0
"Paul H. Douglas, The Theory of Wages","Table 19 The Movement Of Labor, Capital, And Product In Massachusetts Manufacturing, 1890-1926, 1899=100",160,L,DT19AS02,1900,105.0
"Paul H. Douglas, The Theory of Wages","Table 19 The Movement Of Labor, Capital, And Product In Massachusetts Manufacturing, 1890-1926, 1899=100",160,C,DT19AS03,1900,104.0
"Paul H. Douglas, The Theory of Wages","Table 19 The Movement Of Labor, Capital, And Product In Massachusetts Manufacturing, 1890-1926, 1899=100",160,P,DT19AS01,1901,118.0
"Paul H. Douglas, The Theory of Wages","Table 19 The Movement Of Labor, Capital, And Product In Massachusetts Manufacturing, 1890-1926, 1899=100",160,L,DT19AS02,1901,108.0
"Paul H. Douglas, The Theory of Wages","Table 19 The Movement Of Labor, Capital, And Product In Massachusetts Manufacturing, 1890-1926, 1899=100",160,C,DT19AS03,1901,106.0
"Paul H. Douglas, The Theory of Wages","Table 19 The Movement Of Labor, Capital, And Product In Massachusetts Manufacturing, 1890-1926, 1899=100",160,P,DT19AS01,1902,129.0
"Paul H. Douglas, The Theory of Wages","Table 19 The Movement Of Labor, Capital, And Product In Massachusetts Manufacturing, 1890-1926, 1899=100",160,L,DT19AS02,1902,118.0
"Paul H. Douglas, The Theory of Wages","Table 19 The Movement Of Labor, Capital, And Product In Massachusetts Manufacturing, 1890-1926, 1899=100",160,C,DT19AS03,1902,116.0
"Paul H. Douglas, The Theory of Wages","Table 19 The Movement Of Labor, Capital, And Product In Massachusetts Manufacturing, 1890-1926, 1899=100",160,P,DT19AS01,1903,130.0
"Paul H. Douglas, The Theory of Wages","Table 19 The Movement Of Labor, Capital, And Product In Massachusetts Manufacturing, 1890-1926, 1899=100",160,L,DT19AS02,1903,122.0
"Paul H. Douglas, The Theory of Wages","Table 19 The Movement Of Labor, Capital, And Product In Massachusetts Manufacturing, 1890-1926, 1899=100",160,C,DT19AS03,1903,122.0
"Paul H. Douglas, The Theory of Wages","Table 19 The Movement Of Labor, Capital, And Product In Massachusetts Manufacturing, 1890-1926, 1899=100",160,P,DT19AS01,1904,130.0
"Paul H. Douglas, The Theory of Wages","Table 19 The Movement Of Labor, Capital, And Product In Massachusetts Manufacturing, 1890-1926, 1899=100",160,L,DT19AS02,1904,117.0
"Paul H. Douglas, The Theory of Wages","Table 19 The Movement Of Labor, Capital, And Product In Massachusetts Manufacturing, 1890-1926, 1899=100",160,C,DT19AS03,1904,127.0
"Paul H. Douglas, The Theory of Wages","Table 19 The Movement Of Labor, Capital, And Product In Massachusetts Manufacturing, 1890-1926, 1899=100",160,P,DT19AS01,1905,142.0
"Paul H. Douglas, The Theory of Wages","Table 19 The Movement Of Labor, Capital, And Product In Massachusetts Manufacturing, 1890-1926, 1899=100",160,L,DT19AS02,1905,130.0
"Paul H. Douglas, The Theory of Wages","Table 19 The Movement Of Labor, Capital, And Product In Massachusetts Manufacturing, 1890-1926, 1899=100",160,C,DT19AS03,1905,137.0
"Paul H. Douglas, The Theory of Wages","Table 19 The Movement Of Labor, Capital, And Product In Massachusetts Manufacturing, 1890-1926, 1899=100",160,P,DT19AS01,1906,150.0
"Paul H. Douglas, The Theory of Wages","Table 19 The Movement Of Labor, Capital, And Product In Massachusetts Manufacturing, 1890-1926, 1899=100",160,L,DT19AS02,1906,139.0
"Paul H. Douglas, The Theory of Wages","Table 19 The Movement Of Labor, Capital, And Product In Massachusetts Manufacturing, 1890-1926, 1899=100",160,C,DT19AS03,1906,144.0
"Paul H. Douglas, The Theory of Wages","Table 19 The Movement Of Labor, Capital, And Product In Massachusetts Manufacturing, 1890-1926, 1899=100",160,P,DT19AS01,1907,152.0
"Paul H. Douglas, The Theory of Wages","Table 19 The Movement Of Labor, Capital, And Product In Massachusetts Manufacturing, 1890-1926, 1899=100",160,L,DT19AS02,1907,147.0
"Paul H. Douglas, The Theory of Wages","Table 19 The Movement Of Labor, Capital, And Product In Massachusetts Manufacturing, 1890-1926, 1899=100",160,C,DT19AS03,1907,153.0
"Paul H. Douglas, The Theory of Wages","Table 19 The Movement Of Labor, Capital, And Product In Massachusetts Manufacturing, 1890-1926, 1899=100",160,P,DT19AS01,1908,146.0
"Paul H. Douglas, The Theory of Wages","Table 19 The Movement Of Labor, Capital, And Product In Massachusetts Manufacturing, 1890-1926, 1899=100",160,L,DT19AS02,1908,131.0
"Paul H. Douglas, The Theory of Wages","Table 19 The Movement Of Labor, Capital, And Product In Massachusetts Manufacturing, 1890-1926, 1899=100",160,C,DT19AS03,1908,157.0
"Paul H. Douglas, The Theory of Wages","Table 19 The Movement Of Labor, Capital, And Product In Massachusetts Manufacturing, 1890-1926, 1899=100",160,P,DT19AS01,1909,160.0
"Paul H. Douglas, The Theory of Wages","Table 19 The Movement Of Labor, Capital, And Product In Massachusetts Manufacturing, 1890-1926, 1899=100",160,L,DT19AS02,1909,143.0
"Paul H. Douglas, The Theory of Wages","Table 19 The Movement Of Labor, Capital, And Product In Massachusetts Manufacturing, 1890-1926, 1899=100",160,C,DT19AS03,1909,205.0
"Paul H. Douglas, The Theory of Wages","Table 19 The Movement Of Labor, Capital, And Product In Massachusetts Manufacturing, 1890-1926, 1899=100",160,P,DT19AS01,1910,169.0
"Paul H. Douglas, The Theory of Wages","Table 19 The Movement Of Labor, Capital, And Product In Massachusetts Manufacturing, 1890-1926, 1899=100",160,L,DT19AS02,1910,158.0
"Paul H. Douglas, The Theory of Wages","Table 19 The Movement Of Labor, Capital, And Product In Massachusetts Manufacturing, 1890-1926, 1899=100",160,C,DT19AS03,1910,251.0
"Paul H. Douglas, The Theory of Wages","Table 19 The Movement Of Labor, Capital, And Product In Massachusetts Manufacturing, 1890-1926, 1899=100",160,P,DT19AS01,1911,181.0
"Paul H. Douglas, The Theory of Wages","Table 19 The Movement Of Labor, Capital, And Product In Massachusetts Manufacturing, 1890-1926, 1899=100",160,L,DT19AS02,1911,159.0
"Paul H. Douglas, The Theory of Wages","Table 19 The Movement Of Labor, Capital, And Product In Massachusetts Manufacturing, 1890-1926, 1899=100",160,C,DT19AS03,1911,263.0
"Paul H. Douglas, The Theory of Wages","Table 19 The Movement Of Labor, Capital, And Product In Massachusetts Manufacturing, 1890-1926, 1899=100",160,P,DT19AS01,1912,193.0
"Paul H. Douglas, The Theory of Wages","Table 19 The Movement Of Labor, Capital, And Product In Massachusetts Manufacturing, 1890-1926, 1899=100",160,L,DT19AS02,1912,166.0
"Paul H. Douglas, The Theory of Wages","Table 19 The Movement Of Labor, Capital, And Product In Massachusetts Manufacturing, 1890-1926, 1899=100",160,C,DT19AS03,1912,274.0
"Paul H. Douglas, The Theory of Wages","Table 19 The Movement Of Labor, Capital, And Product In Massachusetts Manufacturing, 1890-1926, 1899=100",160,P,DT19AS01,1913,195.0
"Paul H. Douglas, The Theory of Wages","Table 19 The Movement Of Labor, Capital, And Product In Massachusetts Manufacturing, 1890-1926, 1899=100",160,L,DT19AS02,1913,168.0
"Paul H. Douglas, The Theory of Wages","Table 19 The Movement Of Labor, Capital, And Product In Massachusetts Manufacturing, 1890-1926, 1899=100",160,C,DT19AS03,1913,282.0
"Paul H. Douglas, The Theory of Wages","Table 19 The Movement Of Labor, Capital, And Product In Massachusetts Manufacturing, 1890-1926, 1899=100",160,P,DT19AS01,1914,201.0
"Paul H. Douglas, The Theory of Wages","Table 19 The Movement Of Labor, Capital, And Product In Massachusetts Manufacturing, 1890-1926, 1899=100",160,L,DT19AS02,1914,165.0
"Paul H. Douglas, The Theory of Wages","Table 19 The Movement Of Labor, Capital, And Product In Massachusetts Manufacturing, 1890-1926, 1899=100",160,C,DT19AS03,1914,324.0
"Paul H. Douglas, The Theory of Wages","Table 19 The Movement Of Labor, Capital, And Product In Massachusetts Manufacturing, 1890-1926, 1899=100",160,P,DT19AS01,1915,200.0
"Paul H. Douglas, The Theory of Wages","Table 19 The Movement Of Labor, Capital, And Product In Massachusetts Manufacturing, 1890-1926, 1899=100",160,L,DT19AS02,1915,162.0
"Paul H. Douglas, The Theory of Wages","Table 19 The Movement Of Labor, Capital, And Product In Massachusetts Manufacturing, 1890-1926, 1899=100",160,C,DT19AS03,1915,324.0
"Paul H. Douglas, The Theory of Wages","Table 19 The Movement Of Labor, Capital, And Product In Massachusetts Manufacturing, 1890-1926, 1899=100",160,P,DT19AS01,1916,209.0
"Paul H. Douglas, The Theory of Wages","Table 19 The Movement Of Labor, Capital, And Product In Massachusetts Manufacturing, 1890-1926, 1899=100",160,L,DT19AS02,1916,186.0
"Paul H. Douglas, The Theory of Wages","Table 19 The Movement Of Labor, Capital, And Product In Massachusetts Manufacturing, 1890-1926, 1899=100",160,C,DT19AS03,1916,361.0
"Paul H. Douglas, The Theory of Wages","Table 19 The Movement Of Labor, Capital, And Product In Massachusetts Manufacturing, 1890-1926, 1899=100",160,P,DT19AS01,1917,196.0
"Paul H. Douglas, The Theory of Wages","Table 19 The Movement Of Labor, Capital, And Product In Massachusetts Manufacturing, 1890-1926, 1899=100",160,L,DT19AS02,1917,193.0
"Paul H. Douglas, The Theory of Wages","Table 19 The Movement Of Labor, Capital, And Product In Massachusetts Manufacturing, 1890-1926, 1899=100",160,C,DT19AS03,1917,410.0
"Paul H. Douglas, The Theory of Wages","Table 19 The Movement Of Labor, Capital, And Product In Massachusetts Manufacturing, 1890-1926, 1899=100",160,P,DT19AS01,1918,220.0
"Paul H. Douglas, The Theory of Wages","Table 19 The Movement Of Labor, Capital, And Product In Massachusetts Manufacturing, 1890-1926, 1899=100",160,L,DT19AS02,1918,196.0
"Paul H. Douglas, The Theory of Wages","Table 19 The Movement Of Labor, Capital, And Product In Massachusetts Manufacturing, 1890-1926, 1899=100",160,C,DT19AS03,1918,436.0
"Paul H. Douglas, The Theory of Wages","Table 19 The Movement Of Labor, Capital, And Product In Massachusetts Manufacturing, 1890-1926, 1899=100",160,P,DT19AS01,1919,212.0
"Paul H. Douglas, The Theory of Wages","Table 19 The Movement Of Labor, Capital, And Product In Massachusetts Manufacturing, 1890-1926, 1899=100",160,L,DT19AS02,1919,195.0
"Paul H. Douglas, The Theory of Wages","Table 19 The Movement Of Labor, Capital, And Product In Massachusetts Manufacturing, 1890-1926, 1899=100",160,C,DT19AS03,1919,477.0
"Paul H. Douglas, The Theory of Wages","Table 19 The Movement Of Labor, Capital, And Product In Massachusetts Manufacturing, 1890-1926, 1899=100",160,P,DT19AS01,1920,216.0
"Paul H. Douglas, The Theory of Wages","Table 19 The Movement Of Labor, Capital, And Product In Massachusetts Manufacturing, 1890-1926, 1899=100",160,L,DT19AS02,1920,190.0
"Paul H. Douglas, The Theory of Wages","Table 19 The Movement Of Labor, Capital, And Product In Massachusetts Manufacturing, 1890-1926, 1899=100",160,C,DT19AS03,1920,475.0
"Paul H. Douglas, The Theory of Wages","Table 19 The Movement Of Labor, Capital, And Product In Massachusetts Manufacturing, 1890-1926, 1899=100",160,P,DT19AS01,1921,208.0
"Paul H. Douglas, The Theory of Wages","Table 19 The Movement Of Labor, Capital, And Product In Massachusetts Manufacturing, 1890-1926, 1899=100",160,L,DT19AS02,1921,158.0
"Paul H. Douglas, The Theory of Wages","Table 19 The Movement Of Labor, Capital, And Product In Massachusetts Manufacturing, 1890-1926, 1899=100",160,C,DT19AS03,1921,454.0
"Paul H. Douglas, The Theory of Wages","Table 19 The Movement Of Labor, Capital, And Product In Massachusetts Manufacturing, 1890-1926, 1899=100",160,P,DT19AS01,1922,224.0
"Paul H. Douglas, The Theory of Wages","Table 19 The Movement Of Labor, Capital, And Product In Massachusetts Manufacturing, 1890-1926, 1899=100",160,L,DT19AS02,1922,167.0
"Paul H. Douglas, The Theory of Wages","Table 19 The Movement Of Labor, Capital, And Product In Massachusetts Manufacturing, 1890-1926, 1899=100",160,C,DT19AS03,1922,454.0
"Paul H. Douglas, The Theory of Wages","Table 19 The Movement Of Labor, Capital, And Product In Massachusetts Manufacturing, 1890-1926, 1899=100",160,P,DT19AS01,1923,256.0
"Paul H. Douglas, The Theory of Wages","Table 19 The Movement Of Labor, Capital, And Product In Massachusetts Manufacturing, 1890-1926, 1899=100",160,L,DT19AS02,1923,182.0
"Paul H. Douglas, The Theory of Wages","Table 19 The Movement Of Labor, Capital, And Product In Massachusetts Manufacturing, 1890-1926, 1899=100",160,C,DT19AS03,1923,458.0
"Paul H. Douglas, The Theory of Wages","Table 19 The Movement Of Labor, Capital, And Product In Massachusetts Manufacturing, 1890-1926, 1899=100",160,P,DT19AS01,1924,234.0
"Paul H. Douglas, The Theory of Wages","Table 19 The Movement Of Labor, Capital, And Product In Massachusetts Manufacturing, 1890-1926, 1899=100",160,L,DT19AS02,1924,160.0
"Paul H. Douglas, The Theory of Wages","Table 19 The Movement Of Labor, Capital, And Product In Massachusetts Manufacturing, 1890-1926, 1899=100",160,C,DT19AS03,1924,458.0
"Paul H. Douglas, The Theory of Wages","Table 19 The Movement Of Labor, Capital, And Product In Massachusetts Manufacturing, 1890-1926, 1899=100",160,P,DT19AS01,1925,245.0
"Paul H. Douglas, The Theory of Wages","Table 19 The Movement Of Labor, Capital, And Product In Massachusetts Manufacturing, 1890-1926, 1899=100",160,L,DT19AS02,1925,161.0
"Paul H. Douglas, The Theory of Wages","Table 19 The Movement Of Labor, Capital, And Product In Massachusetts Manufacturing, 1890-1926, 1899=100",160,C,DT19AS03,1925,458.0
"Paul H. Douglas, The Theory of Wages","Table 19 The Movement Of Labor, Capital, And Product In Massachusetts Manufacturing, 1890-1926, 1899=100",160,P,DT19AS01,1926,258.0
"Paul H. Douglas, The Theory of Wages","Table 19 The Movement Of Labor, Capital, And Product In Massachusetts Manufacturing, 1890-1926, 1899=100",160,L,DT19AS02,1926,164.0
"Paul H. Douglas, The Theory of Wages","Table 19 The Movement Of Labor, Capital, And Product In Massachusetts Manufacturing, 1890-1926, 1899=100",160,C,DT19AS03,1926,454.0
"Paul H. Douglas, The Theory of Wages","Table 24 The Revised Index Of Physical Production For All Manufacturing In The United States, 1899-1926",176,Index,DT24AS01,1899,100.0
"Paul H. Douglas, The Theory of Wages","Table 24 The Revised Index Of Physical Production For All Manufacturing In The United States, 1899-1926",176,Index,DT24AS01,1900,100.0
"Paul H. Douglas, The Theory of Wages","Table 24 The Revised Index Of Physical Production For All Manufacturing In The United States, 1899-1926",176,Index,DT24AS01,1901,112.0
"Paul H. Douglas, The Theory of Wages","Table 24 The Revised Index Of Physical Production For All Manufacturing In The United States, 1899-1926",176,Index,DT24AS01,1902,121.0
"Paul H. Douglas, The Theory of Wages","Table 24 The Revised Index Of Physical Production For All Manufacturing In The United States, 1899-1926",176,Index,DT24AS01,1903,123.0
"Paul H. Douglas, The Theory of Wages","Table 24 The Revised Index Of Physical Production For All Manufacturing In The United States, 1899-1926",176,Index,DT24AS01,1904,123.0
"Paul H. Douglas, The Theory of Wages","Table 24 The Revised Index Of Physical Production For All Manufacturing In The United States, 1899-1926",176,Index,DT24AS01,1905,142.0
"Paul H. Douglas, The Theory of Wages","Table 24 The Revised Index Of Physical Production For All Manufacturing In The United States, 1899-1926",176,Index,DT24AS01,1906,151.0
"Paul H. Douglas, The Theory of Wages","Table 24 The Revised Index Of Physical Production For All Manufacturing In The United States, 1899-1926",176,Index,DT24AS01,1907,150.0
"Paul H. Douglas, The Theory of Wages","Table 24 The Revised Index Of Physical Production For All Manufacturing In The United States, 1899-1926",176,Index,DT24AS01,1908,133.0
"Paul H. Douglas, The Theory of Wages","Table 24 The Revised Index Of Physical Production For All Manufacturing In The United States, 1899-1926",176,Index,DT24AS01,1909,160.0
"Paul H. Douglas, The Theory of Wages","Table 24 The Revised Index Of Physical Production For All Manufacturing In The United States, 1899-1926",176,Index,DT24AS01,1910,157.0
"Paul H. Douglas, The Theory of Wages","Table 24 The Revised Index Of Physical Production For All Manufacturing In The United States, 1899-1926",176,Index,DT24AS01,1911,156.0
"Paul H. Douglas, The Theory of Wages","Table 24 The Revised Index Of Physical Production For All Manufacturing In The United States, 1899-1926",176,Index,DT24AS01,1912,175.0
"Paul H. Douglas, The Theory of Wages","Table 24 The Revised Index Of Physical Production For All Manufacturing In The United States, 1899-1926",176,Index,DT24AS01,1913,180.0
"Paul H. Douglas, The Theory of Wages","Table 24 The Revised Index Of Physical Production For All Manufacturing In The United States, 1899-1926",176,Index,DT24AS01,1914,171.0
"Paul H. Douglas, The Theory of Wages","Table 24 The Revised Index Of Physical Production For All Manufacturing In The United States, 1899-1926",176,Index,DT24AS01,1915,187.0
"Paul H. Douglas, The Theory of Wages","Table 24 The Revised Index Of Physical Production For All Manufacturing In The United States, 1899-1926",176,Index,DT24AS01,1916,218.0
"Paul H. Douglas, The Theory of Wages","Table 24 The Revised Index Of Physical Production For All Manufacturing In The United States, 1899-1926",176,Index,DT24AS01,1917,219.0
"Paul H. Douglas, The Theory of Wages","Table 24 The Revised Index Of Physical Production For All Manufacturing In The United States, 1899-1926",176,Index,DT24AS01,1918,237.0
"Paul H. Douglas, The Theory of Wages","Table 24 The Revised Index Of Physical Production For All Manufacturing In The United States, 1899-1926",176,Index,DT24AS01,1919,210.0
"Paul H. Douglas, The Theory of Wages","Table 24 The Revised Index Of Physical Production For All Manufacturing In The United States, 1899-1926",176,Index,DT24AS01,1920,224.0
"Paul H. Douglas, The Theory of Wages","Table 24 The Revised Index Of Physical Production For All Manufacturing In The United States, 1899-1926",176,Index,DT24AS01,1921,181.0
"Paul H. Douglas, The Theory of Wages","Table 24 The Revised Index Of Physical Production For All Manufacturing In The United States, 1899-1926",176,Index,DT24AS01,1922,229.0
"Paul H. Douglas, The Theory of Wages","Table 24 The Revised Index Of Physical Production For All Manufacturing In The United States, 1899-1926",176,Index,DT24AS01,1923,260.0
"Paul H. Douglas, The Theory of Wages","Table 24 The Revised Index Of Physical Production For All Manufacturing In The United States, 1899-1926",176,Index,DT24AS01,1924,247.0
"Paul H. Douglas, The Theory of Wages","Table 24 The Revised Index Of Physical Production For All Manufacturing In The United States, 1899-1926",176,Index,DT24AS01,1925,274.0
"Paul H. Douglas, The Theory of Wages","Table 24 The Revised Index Of Physical Production For All Manufacturing In The United States, 1899-1926",176,Index,DT24AS01,1926,285.0
"Paul H. Douglas, The Theory of Wages","Table 62 Estimated Total British Capital In Terms Of The 1865 Price Level Invested Inside And Outside The United Kingdom By Years From 1865 To 1909, And Rate Of Growth Of This Capital",464,"Total Capital, In millions £ (1)",DT62AS01,1865,2585.0
"Paul H. Douglas, The Theory of Wages","Table 62 Estimated Total British Capital In Terms Of The 1865 Price Level Invested Inside And Outside The United Kingdom By Years From 1865 To 1909, And Rate Of Growth Of This Capital",464,"Total Capital, Relative Index 1865=100 (2)",DT62AS02,1865,100.0
"Paul H. Douglas, The Theory of Wages","Table 62 Estimated Total British Capital In Terms Of The 1865 Price Level Invested Inside And Outside The United Kingdom By Years From 1865 To 1909, And Rate Of Growth Of This Capital",464,"Total Capital, In millions £ (1)",DT62AS01,1866,2671.0
"Paul H. Douglas, The Theory of Wages","Table 62 Estimated Total British Capital In Terms Of The 1865 Price Level Invested Inside And Outside The United Kingdom By Years From 1865 To 1909, And Rate Of Growth Of This Capital",464,"Total Capital, Relative Index 1865=100 (2)",DT62AS02,1866,103.0
"Paul H. Douglas, The Theory of Wages","Table 62 Estimated Total British Capital In Terms Of The 1865 Price Level Invested Inside And Outside The United Kingdom By Years From 1865 To 1909, And Rate Of Growth Of This Capital",464,"Annual Amount Saved, In millions £ (3)",DT62AS03,1866,86.0
"Paul H. Douglas, The Theory of Wages","Table 62 Estimated Total British Capital In Terms Of The 1865 Price Level Invested Inside And Outside The United Kingdom By Years From 1865 To 1909, And Rate Of Growth Of This Capital",464,"Annual Amount Saved, Percentage Increase (4)",DT62AS04,1866,3.3
"Paul H. Douglas, The Theory of Wages","Table 62 Estimated Total British Capital In Terms Of The 1865 Price Level Invested Inside And Outside The United Kingdom By Years From 1865 To 1909, And Rate Of Growth Of This Capital",464,"Total Capital, In millions £ (1)",DT62AS01,1867,2763.0
"Paul H. Douglas, The Theory of Wages","Table 62 Estimated Total British Capital In Terms Of The 1865 Price Level Invested Inside And Outside The United Kingdom By Years From 1865 To 1909, And Rate Of Growth Of This Capital",464,"Total Capital, Relative Index 1865=100 (2)",DT62AS02,1867,107.0
"Paul H. Douglas, The Theory of Wages","Table 62 Estimated Total British Capital In Terms Of The 1865 Price Level Invested Inside And Outside The United Kingdom By Years From 1865 To 1909, And Rate Of Growth Of This Capital",464,"Annual Amount Saved, In millions £ (3)",DT62AS03,1867,92.0
"Paul H. Douglas, The Theory of Wages","Table 62 Estimated Total British Capital In Terms Of The 1865 Price Level Invested Inside And Outside The United Kingdom By Years From 1865 To 1909, And Rate Of Growth Of This Capital",464,"Annual Amount Saved, Percentage Increase (4)",DT62AS04,1867,3.4
"Paul H. Douglas, The Theory of Wages","Table 62 Estimated Total British Capital In Terms Of The 1865 Price Level Invested Inside And Outside The United Kingdom By Years From 1865 To 1909, And Rate Of Growth Of This Capital",464,"Total Capital, In millions £ (1)",DT62AS01,1868,2855.0
"Paul H. Douglas, The Theory of Wages","Table 62 Estimated Total British Capital In Terms Of The 1865 Price Level Invested Inside And Outside The United Kingdom By Years From 1865 To 1909, And Rate Of Growth Of This Capital",464,"Total Capital, Relative Index 1865=100 (2)",DT62AS02,1868,110.0
"Paul H. Douglas, The Theory of Wages","Table 62 Estimated Total British Capital In Terms Of The 1865 Price Level Invested Inside And Outside The United Kingdom By Years From 1865 To 1909, And Rate Of Growth Of This Capital",464,"Annual Amount Saved, In millions £ (3)",DT62AS03,1868,92.0
"Paul H. Douglas, The Theory of Wages","Table 62 Estimated Total British Capital In Terms Of The 1865 Price Level Invested Inside And Outside The United Kingdom By Years From 1865 To 1909, And Rate Of Growth Of This Capital",464,"Annual Amount Saved, Percentage Increase (4)",DT62AS04,1868,3.3
"Paul H. Douglas, The Theory of Wages","Table 62 Estimated Total British Capital In Terms Of The 1865 Price Level Invested Inside And Outside The United Kingdom By Years From 1865 To 1909, And Rate Of Growth Of This Capital",464,"Total Capital, In millions £ (1)",DT62AS01,1869,2949.0
"Paul H. Douglas, The Theory of Wages","Table 62 Estimated Total British Capital In Terms Of The 1865 Price Level Invested Inside And Outside The United Kingdom By Years From 1865 To 1909, And Rate Of Growth Of This Capital",464,"Total Capital, Relative Index 1865=100 (2)",DT62AS02,1869,114.0
